date,day,note,Temp treatment,species,pot,id,proteomics,mdwp,amax,amax_tleaf,photo,gs,tleaf,vpdl,cica,FvFm,qP,phips2,ETR
28/01/2015,1,pre-heatwave,home,E. tereticornis,7,bter-7,yes,7.62,28.89086751,25.13747215,20.08066679,0.557232846,25.60715675,1.339906782,0.829994098,0.526308535,0.212987773,0.112097283,88.10793586
28/01/2015,1,pre-heatwave,warm,E. tereticornis,21,bter-21,yes,5.31,19.83159738,24.64009309,14.74738872,0.455000593,24.36618423,1.090370236,0.850435412,0.526432505,0.180365948,0.094950498,74.52237454
28/01/2015,1,pre-heatwave,warm,E. tereticornis,29,bter-29,yes,9.15,18.01010441,25.08618469,13.8813344,0.293460394,24.48880768,1.525344449,0.786627537,0.460195528,0.184797854,0.085043146,66.84221635
28/01/2015,1,pre-heatwave,warm,E. tereticornis,30,bter-30,yes,5.66,17.78567988,26.6708725,7.950559069,0.108659278,25.14589882,1.521324215,0.69141824,0.365844999,0.179682989,0.065736123,51.63908511
3/02/2015,7,heatwave,home,E. botryoides,2,bot-2,yes,11.56,,,0.426618943,0.186542161,47.68008041,3.583487384,0.930749516,0.255506326,0.255815593,0.065362502,51.35001041
3/02/2015,7,heatwave,home,E. botryoides,6,bot-6,yes,10.18,,,-1.119753104,0.042064176,47.60165024,5.173090876,1.013404519,0.192943093,0.291001409,0.056146712,44.1193273
3/02/2015,7,heatwave,home,E. botryoides,7,bot-7,yes,11.98,,,2.595667907,0.293494411,45.90879822,3.224708525,0.911823038,0.296576821,0.272296337,0.080756782,63.46022001
3/02/2015,7,heatwave,warm,E. botryoides,24,bot-24,yes,15.18,,,2.218230578,0.187760262,46.05424881,3.911419682,0.890027654,0.256030757,0.297012175,0.076044252,59.68521823
3/02/2015,7,heatwave,warm,E. botryoides,27,bot-27,yes,11.23,,,0.606719591,0.520212252,46.53595734,2.373844611,0.955052457,0.266108599,0.26555484,0.070666427,55.48377539
3/02/2015,7,heatwave,warm,E. botryoides,30,bot-30,yes,10.33,,,3.52452025,0.128456852,45.67887115,4.25230309,0.825729393,0.255575505,0.248236089,0.063443064,49.84263974
3/02/2015,7,heatwave,home,E. camaldulensis,7,acam-7,yes,10.35,,,16.01485602,0.490284004,43.47816086,2.494027645,0.824894618,0.417294174,0.377499439,0.157528316,123.6141778
3/02/2015,7,heatwave,home,E. camaldulensis,8,acam-8,yes,15.25,,,15.54947121,0.646759673,43.830513,2.087296381,0.865221368,0.420099639,0.432282337,0.181601654,142.6421755
3/02/2015,7,heatwave,home,E. camaldulensis,11,acam-11,yes,11.52,,,11.19526577,0.547253976,44.41923141,2.362342437,0.877087171,0.421293567,0.346089105,0.145805114,114.4546459
3/02/2015,7,heatwave,warm,E. camaldulensis,25,acam-25,yes,14.61,,,17.57236854,2.166936353,42.98461533,1.107685986,0.942759013,0.435717547,0.454760812,0.198147265,155.7276685
3/02/2015,7,heatwave,warm,E. camaldulensis,27,acam-27,yes,11.89,,,15.84409281,0.681294187,42.86291885,2.100676767,0.868394755,0.425512417,0.425687721,0.181135411,142.111148
3/02/2015,7,heatwave,warm,E. camaldulensis,28,acam-28,yes,17.96,,,13.09110157,0.783912318,43.75855255,2.194257507,0.893527408,0.357547355,0.39015016,0.139497158,109.5949114
3/02/2015,7,heatwave,home,E. smithii,2,smit-2,yes,11.39,,,-0.122641463,0.349208767,46.53985977,3.613441363,0.941245254,0.265726762,0.27222492,0.072337447,56.76962995
3/02/2015,7,heatwave,home,E. smithii,9,smit-9,yes,14.97,,,5.984164584,0.327602462,44.43348694,2.834873894,0.881271963,0.344254879,0.356456002,0.122711718,96.44043499
3/02/2015,7,heatwave,home,E. smithii,11,smit-11,yes,14.07,,,4.498967531,0.432515136,44.53682709,3.189236427,0.906455979,0.287619527,0.315336691,0.09069699,71.19273746
3/02/2015,7,heatwave,warm,E. smithii,22,smit-22,yes,15.23,,,1.097056809,0.256299057,44.66589355,3.449094351,0.926587044,0.299401232,0.168077617,0.050322646,39.55541162
3/02/2015,7,heatwave,warm,E. smithii,23,smit-23,yes,14.16,,,1.208781393,0.263473188,45.83616257,3.369207228,0.926299748,0.310427846,0.302536395,0.093915721,73.86042793
3/02/2015,7,heatwave,warm,E. smithii,28,smit-28,yes,15.92,,,0.961118649,0.25543536,44.69008636,3.408534936,0.929175745,0.259328305,0.235433483,0.061054566,47.92211292
3/02/2015,7,heatwave,home,E. tereticornis,2,bter-2,yes,11.78,,,7.122294381,0.191886934,44.59259415,4.176034147,0.788506324,0.356413451,0.291797017,0.104000382,81.68375546
3/02/2015,7,heatwave,home,E. tereticornis,6,bter-6,yes,15.15,,,12.93648324,0.224023708,44.61643982,3.776498994,0.711515526,0.382029843,0.319011611,0.121871956,95.66763938
3/02/2015,7,heatwave,home,E. tereticornis,7,bter-7,yes,13.95,,,9.758933687,0.533628863,44.20391464,2.590746217,0.882757348,0.416291411,0.291384284,0.121300774,95.16861355
3/02/2015,7,heatwave,warm,E. tereticornis,21,bter-21,yes,12.69,,,2.842770775,0.14511215,46.26641464,3.752011516,0.862972766,0.296604988,0.227980768,0.067620233,53.07960005
3/02/2015,7,heatwave,warm,E. tereticornis,29,bter-29,yes,15.25,,,0.402094383,0.218754816,46.24897003,2.579466221,0.94914385,0.212491062,0.235308913,0.050001041,39.29764047
3/02/2015,7,heatwave,warm,E. tereticornis,30,bter-30,yes,12.68,,,2.763185061,0.166408407,45.72985077,3.536379984,0.877858034,0.320637353,0.234969879,0.07534012,59.21931839
5/02/2015,9,1 day post-heatwave (recovery),home,E. botryoides,2,bot-2,yes,5.05,14.45814347,20.17386551,9.251708924,0.341288898,20.15009499,0.790522673,0.878523696,0.406747136,0.215961051,0.087841539,68.92508522
5/02/2015,9,1 day post-heatwave (recovery),home,E. botryoides,6,bot-6,yes,4.25,14.72594225,25.72128181,9.318070784,0.180523846,25.51894569,1.699641184,0.770191068,0.429563354,0.193860847,0.083275515,65.45289873
5/02/2015,9,1 day post-heatwave (recovery),home,E. botryoides,7,bot-7,yes,4.78,12.1629709,26.82673607,7.869700628,0.264078421,26.45876694,1.452614907,0.858773427,0.461848761,0.144692213,0.066825919,52.47942147
5/02/2015,9,1 day post-heatwave (recovery),warm,E. botryoides,24,bot-24,yes,8.8,11.9032294,24.34081841,10.13153646,0.528071293,24.17077827,1.323667578,0.900494091,0.433513904,0.159439842,0.069119389,54.26664316
5/02/2015,9,1 day post-heatwave (recovery),warm,E. botryoides,27,bot-27,yes,4.68,12.06721999,20.16241989,8.865102004,1.062557454,20.23120308,0.639089723,0.954105895,0.555048601,0.090715886,0.050351726,39.54278475
5/02/2015,9,1 day post-heatwave (recovery),warm,E. botryoides,30,bot-30,yes,6.58,10.12172638,20.16213862,7.765007778,0.547290108,20.54761505,1.25025939,0.922574771,0.373360724,0.140857523,0.052590667,41.34098981
5/02/2015,9,1 day post-heatwave (recovery),home,E. camaldulensis,7,acam-7,yes,6.58,23.14027095,20.39930026,20.19097453,1.856817289,20.61149406,0.499366794,0.941285156,0.648167086,0.172382486,0.111732654,87.67612086
5/02/2015,9,1 day post-heatwave (recovery),home,E. camaldulensis,8,acam-8,yes,6.95,23.54468498,25.04386215,19.62985842,0.369798978,24.73587418,1.455628309,0.760104526,0.632351409,0.178961002,0.113166242,88.8305534
5/02/2015,9,1 day post-heatwave (recovery),home,E. camaldulensis,11,acam-11,yes,6.35,17.39019986,20.0748086,17.33376905,2.310625288,20.08182144,0.412729335,0.957318607,0.662691174,0.154183065,0.102175756,80.32700549
5/02/2015,9,1 day post-heatwave (recovery),warm,E. camaldulensis,25,acam-25,yes,8.08,15.06521929,20.15670268,16.75201475,1.090040661,20.10110092,1.067997786,0.916323231,0.543120523,0.189925259,0.103152306,81.10600437
5/02/2015,9,1 day post-heatwave (recovery),warm,E. camaldulensis,27,acam-27,yes,14.5,14.65059778,23.53070526,15.82471421,2.210223968,22.86761093,0.833711119,0.952753353,0.706969552,0.118755006,0.083956173,66.00792352
5/02/2015,9,1 day post-heatwave (recovery),warm,E. camaldulensis,28,acam-28,yes,9.18,16.52978335,24.51556365,15.40695218,0.872591781,22.97911453,1.524138749,0.900940315,0.448727156,0.209849509,0.094165174,73.90198028
5/02/2015,9,1 day post-heatwave (recovery),home,E. smithii,2,smit-2,yes,7.97,21.59356667,25.11818352,7.811269076,0.424480353,25.23972893,1.554819294,0.902560983,0.506619518,0.1560636,0.079064866,62.10061263
5/02/2015,9,1 day post-heatwave (recovery),home,E. smithii,9,smit-9,yes,8.66,15.62997263,26.37907944,9.345365383,0.259312205,25.93733215,1.645345624,0.831551118,0.428894411,0.152294876,0.065318421,51.33088899
5/02/2015,9,1 day post-heatwave (recovery),home,E. smithii,11,smit-11,yes,9.45,19.14911976,24.24074211,13.29406037,0.61063003,23.87798691,1.963408125,0.880504527,0.417774268,0.178262173,0.074473349,58.51013372
5/02/2015,9,1 day post-heatwave (recovery),warm,E. smithii,22,smit-22,yes,7.53,14.72350746,26.02934532,8.663591211,0.197770281,25.49546623,2.535015955,0.789068733,0.37738101,0.155333528,0.058619924,46.02915057
5/02/2015,9,1 day post-heatwave (recovery),warm,E. smithii,23,smit-23,yes,6.95,15.52195423,25.42615356,4.882461769,0.260698018,25.0971241,1.320041807,0.90566657,0.4317634,0.18062595,0.077987674,61.23873334
5/02/2015,9,1 day post-heatwave (recovery),warm,E. smithii,28,smit-28,yes,8.72,16.60952345,20.1709884,8.75193554,0.612311288,19.31089401,0.601824045,0.932160529,0.394294605,0.138788854,0.054723696,42.95061139
5/02/2015,9,1 day post-heatwave (recovery),home,E. tereticornis,2,bter-2,yes,8.42,12.29043587,20.2323451,12.6141852,1.163410915,20.18929291,0.917754174,0.938399394,0.563796651,0.130215939,0.07341531,57.69954982
5/02/2015,9,1 day post-heatwave (recovery),home,E. tereticornis,6,bter-6,yes,7.76,17.94198747,24.54922613,16.07955462,0.532334325,23.99555969,1.303515733,0.854749855,0.564952265,0.168888734,0.095414073,75.00406627
5/02/2015,9,1 day post-heatwave (recovery),home,E. tereticornis,7,bter-7,yes,7.1,12.8835107,25.20356102,12.34780198,0.653835392,24.83736992,1.109298536,0.903890231,0.554507384,0.139498248,0.077352809,60.74579697
5/02/2015,9,1 day post-heatwave (recovery),warm,E. tereticornis,21,bter-21,yes,6.28,13.53037585,25.34305916,9.601411052,0.32839497,25.0358181,1.450518329,0.859893775,0.648157699,0.067388742,0.043678532,34.28779311
5/02/2015,9,1 day post-heatwave (recovery),warm,E. tereticornis,29,bter-29,yes,5.55,,,,,,,,,,,
5/02/2015,9,1 day post-heatwave (recovery),warm,E. tereticornis,30,bter-30,yes,7.48,15.48001528,25.55928802,8.122098673,0.230991015,25.22439766,1.539213922,0.836391635,0.430432498,0.152522076,0.065650458,51.56618612
10/02/2015,14,6-days post-heatwave (recovery),home,E. botryoides,2,bot-2,yes,9.24,11.95572238,28.16717377,7.332886568,0.204311726,26.59466362,2.322586668,0.822908863,0.379253641,0.216968235,0.082285993,64.58666952
10/02/2015,14,6-days post-heatwave (recovery),home,E. botryoides,6,bot-6,yes,5.23,17.42805938,23.93201218,12.86212073,2.322563161,25.66728401,1.032088026,0.957140035,0.366316139,0.288539955,0.105696842,82.96511924
10/02/2015,14,6-days post-heatwave (recovery),home,E. botryoides,7,bot-7,yes,4.98,11.90282473,27.66568048,8.660415124,0.122004519,27.88013649,1.739892625,0.694662477,0.376289791,0.200140176,0.075310705,59.17179013
10/02/2015,14,6-days post-heatwave (recovery),warm,E. botryoides,24,bot-24,yes,7.12,13.9428543,27.58525721,8.852927365,0.309694077,26.2389431,1.703572873,0.859339806,0.371513461,0.191314852,0.071076043,55.82987984
10/02/2015,14,6-days post-heatwave (recovery),warm,E. botryoides,27,bot-27,yes,6.61,13.02228105,25.86519432,9.513053538,0.429898683,24.6768055,1.37977111,0.8888181,0.395842827,0.179908964,0.071215673,55.87653387
10/02/2015,14,6-days post-heatwave (recovery),warm,E. botryoides,30,bot-30,yes,5.22,13.54049878,28.86456776,8.548184724,0.584392103,24.46464348,1.683409092,0.913604237,0.374487961,0.178319825,0.066778628,52.39800184
10/02/2015,14,6-days post-heatwave (recovery),home,E. camaldulensis,7,acam-7,yes,12.66,21.1241542,24.71087036,18.62058712,1.623283445,24.57627678,0.893394809,0.93351489,0.484823767,0.241447602,0.117059536,91.86645015
10/02/2015,14,6-days post-heatwave (recovery),home,E. camaldulensis,8,acam-8,yes,10.18,19.42610633,23.40981636,20.94485252,0.399321824,24.00529861,0.706754448,0.772902938,0.613410883,0.178914357,0.109748014,86.17495512
10/02/2015,14,6-days post-heatwave (recovery),home,E. camaldulensis,11,acam-11,yes,10.15,20.22322482,23.60196304,19.20756904,0.947459824,23.1598587,0.933225157,0.897746819,0.585991174,0.183893944,0.107760228,84.55109657
10/02/2015,14,6-days post-heatwave (recovery),warm,E. camaldulensis,25,acam-25,yes,11.24,20.91627174,25.25090758,12.49711118,0.546054505,25.49702835,1.315945096,0.885090407,0.532327232,0.188792874,0.100499588,78.89686304
10/02/2015,14,6-days post-heatwave (recovery),warm,E. camaldulensis,27,acam-27,yes,14.34,19.82782088,20.03840714,18.59082465,3.128609661,20.19724464,0.324831157,0.96441973,0.524336755,0.221041872,0.115900378,90.99276554
10/02/2015,14,6-days post-heatwave (recovery),warm,E. camaldulensis,28,acam-28,yes,12.15,15.32560467,20.0528759,14.44126937,2.678468829,20.24275589,0.366881253,0.967693011,0.406056614,0.231851616,0.094144882,73.8607638
10/02/2015,14,6-days post-heatwave (recovery),home,E. smithii,2,smit-2,yes,9.16,20.58150668,20.16710587,12.05542365,0.934256309,20.15307999,0.689855713,0.93560175,0.405040784,0.223923315,0.090698075,71.21295125
10/02/2015,14,6-days post-heatwave (recovery),home,E. smithii,9,smit-9,yes,7.95,17.67016247,24.26521301,4.271388082,1.150393895,24.87462234,1.08641666,0.967182395,0.408971595,0.258110674,0.105559934,82.87201222
10/02/2015,14,6-days post-heatwave (recovery),home,E. smithii,11,smit-11,yes,9.33,19.99414577,20.15326996,15.20101012,1.117562454,20.17177582,0.592990954,0.932416641,0.352055093,0.281280045,0.099026073,77.74785205
10/02/2015,14,6-days post-heatwave (recovery),warm,E. smithii,22,smit-22,yes,5.88,16.14431815,20.25725174,8.84493729,1.762165091,20.24975395,0.269396794,0.973293121,0.375389575,0.168033792,0.063078134,49.5373415
10/02/2015,14,6-days post-heatwave (recovery),warm,E. smithii,23,smit-23,yes,8.71,22.30970003,26.73759297,9.778443228,0.174773449,28.24573898,2.243259165,0.747649359,0.394997906,0.180615987,0.071342937,56.026948
10/02/2015,14,6-days post-heatwave (recovery),warm,E. smithii,28,smit-28,yes,8.64,13.34906224,24.17278442,8.361881808,0.56314441,23.70892525,1.305271044,0.919232002,0.423363727,0.138287946,0.0585461,45.98070501
10/02/2015,14,6-days post-heatwave (recovery),home,E. tereticornis,2,bter-2,yes,11.88,13.31803351,24.73208809,11.24001427,0.830596638,25.5953846,1.090599086,0.925608114,0.403483646,0.205573677,0.082945617,65.08154141
10/02/2015,14,6-days post-heatwave (recovery),home,E. tereticornis,6,bter-6,yes,9.65,15.03802163,23.04545898,15.50587162,0.592215505,23.09853172,2.070429994,0.859696832,0.582848879,0.125244819,0.072998802,57.3190713
10/02/2015,14,6-days post-heatwave (recovery),home,E. tereticornis,7,bter-7,yes,7.09,13.5001814,20.17161973,12.49094521,1.442252782,20.16745949,0.473383886,0.953963108,0.47460604,0.156209041,0.074137754,58.17037575
10/02/2015,14,6-days post-heatwave (recovery),warm,E. tereticornis,21,bter-21,yes,8.35,18.06254668,27.24462128,7.210601665,0.132966217,27.29619408,1.909816028,0.758225135,0.341617698,0.182183958,0.062237264,48.82921146
10/02/2015,14,6-days post-heatwave (recovery),warm,E. tereticornis,29,bter-29,yes,,14.02340242,26.32227859,8.533824365,0.38120219,25.10994339,2.077258497,0.877371836,0.353675746,0.194222998,0.068691964,53.90735192
10/02/2015,14,6-days post-heatwave (recovery),warm,E. tereticornis,30,bter-30,yes,7.06,15.57201678,27.08779182,7.666133635,0.140820861,27.8600502,2.132310132,0.754078273,0.414516717,0.180536416,0.074835362,58.75904465
