date,day,note,Temp treatment,species,pot,id,proteomics,mdwp,amax,amax_tleaf,photo,gs,tleaf,vpdl,cica,FvFm,qP,phips2,ETR
28/01/2015,1,pre-heatwave,home,E. botryoides,2,bot-2,yes,10.42,21.43004134,25.19508324,11.76605386,0.201877022,25.17111778,1.72683356,0.742414797,0.398945703,0.248156972,0.099001157,77.84968322
28/01/2015,1,pre-heatwave,home,E. botryoides,6,bot-6,yes,5.01,26.46409416,25.63107904,10.20986267,0.170864234,25.93013,1.675501586,0.738885435,0.424307395,0.247756369,0.10512486,82.57458173
28/01/2015,1,pre-heatwave,home,E. botryoides,7,bot-7,yes,5.06,18.67863311,26.93829079,11.73867621,0.383857799,26.53654289,1.506869791,0.853128769,0.376320952,0.206958218,0.077882713,61.14593396
28/01/2015,1,pre-heatwave,warm,E. botryoides,24,bot-24,yes,7.39,15.17154835,24.59741354,13.5496946,0.536202868,23.33133888,1.063101105,0.879894168,0.385821241,0.222696153,0.085920906,67.41089062
28/01/2015,1,pre-heatwave,warm,E. botryoides,27,bot-27,yes,6.94,22.77981828,26.51846848,12.37739359,0.416994725,25.63150406,1.428532158,0.857561468,0.402995661,0.184946536,0.074532652,58.51790768
28/01/2015,1,pre-heatwave,warm,E. botryoides,30,bot-30,yes,6.8,19.66433682,27.54134674,10.30981481,0.302258282,27.30550957,1.714583319,0.835337377,0.353371634,0.192841808,0.068144825,53.49636727
28/01/2015,1,pre-heatwave,home,E. camaldulensis,7,acam-7,yes,7.88,26.24360544,23.66514664,22.06945643,0.75916497,23.56819344,0.883441711,0.863013658,0.494636914,0.275912037,0.136476279,107.186697
28/01/2015,1,pre-heatwave,home,E. camaldulensis,8,acam-8,yes,7.11,34.56730207,25.92944527,24.04412071,0.570745394,25.49861526,1.309617944,0.804219494,0.471766849,0.349418144,0.164843897,129.5002744
28/01/2015,1,pre-heatwave,home,E. camaldulensis,11,acam-11,yes,7.75,26.32201012,23.04457092,21.03469983,0.962928289,22.83516502,0.983324807,0.890645517,0.566709632,0.238941517,0.135410459,106.2608868
28/01/2015,1,pre-heatwave,warm,E. camaldulensis,25,acam-25,yes,5.93,29.16756278,24.92552299,20.27445639,0.535177879,24.21315193,1.138326911,0.826008859,0.509629364,0.293218482,0.149432748,117.3235642
28/01/2015,1,pre-heatwave,warm,E. camaldulensis,27,acam-27,yes,8.68,24.24006693,23.87102286,18.44110851,0.966866995,23.33223534,0.836278362,0.904725332,0.502329525,0.24689404,0.124022166,97.50734728
28/01/2015,1,pre-heatwave,warm,E. camaldulensis,28,acam-28,yes,7.74,21.29928905,22.97052447,20.39283571,0.864200726,23.20866203,0.7705086,0.887146367,0.404678632,0.287134986,0.116197393,91.35693512
28/01/2015,1,pre-heatwave,home,E. smithii,2,smit-2,yes,8.61,26.86251889,25.91959572,13.63116117,0.683285692,25.54235077,1.424028116,0.896759176,0.397657632,0.202661408,0.080589856,63.33984772
28/01/2015,1,pre-heatwave,home,E. smithii,9,smit-9,yes,5.66,15.91283101,23.35980034,11.91691588,0.734928334,22.93529892,0.821999533,0.919887291,0.407611769,0.264044613,0.107627692,84.56776782
28/01/2015,1,pre-heatwave,home,E. smithii,11,smit-11,yes,5.59,20.5661864,23.06830406,14.49428327,0.861774448,23.11530495,0.851645122,0.916203247,0.403606429,0.232544506,0.093856458,73.79964181
28/01/2015,1,pre-heatwave,warm,E. smithii,22,smit-22,yes,5.96,16.63235762,22.8040657,12.59724534,0.772085845,21.81204987,1.507962271,0.908818186,0.464003386,0.168744677,0.078298102,61.55081375
28/01/2015,1,pre-heatwave,warm,E. smithii,23,smit-23,yes,6.08,18.78831445,24.04320717,15.3751523,0.743401928,23.38214684,1.27024822,0.89506535,0.442930089,0.208572274,0.092382936,72.49357502
28/01/2015,1,pre-heatwave,warm,E. smithii,28,smit-28,yes,6.28,17.69155695,23.14643923,14.82471461,0.801116782,23.41441727,0.855474718,0.909749272,0.407684866,0.217446418,0.088649614,69.68372725
28/01/2015,1,pre-heatwave,home,E. tereticornis,2,bter-2,yes,8.54,20.25401257,23.4090662,14.93715642,0.625769106,22.16530037,1.415304166,0.87926273,0.453529249,0.215064168,0.097537891,76.6153909
28/01/2015,1,pre-heatwave,home,E. tereticornis,6,bter-6,yes,7.91,24.59609428,25.1093914,18.04877961,0.578936019,24.26801109,1.288075045,0.850736283,0.558585219,0.189894742,0.106072396,83.38987769
