date,day,note,time,temp_treatment,species,pot,id,proteomics,mdwp,amax,amax_tleaf,photo,gs,tleaf,vpdl,cica,FvFm,qP,phips2,ETR,LMA_g_m2,LMA_mg_m2
28/01/2015,1,pre-heatwave,pre_heatwave,home,euccam,11,acam-11,yes,7.75,26.32201012,23.04457092,21.03469983,0.962928289,22.83516502,0.983324807,0.890645517,0.566709632,0.238941517,0.135410459,106.2608868,5.002045827,5002.045827
3/02/2015,7,heatwave,heatwave,home,euccam,11,acam-11,yes,11.52,,,11.19526577,0.547253976,44.41923141,2.362342437,0.877087171,0.421293567,0.346089105,0.145805114,114.4546459,5.789929482,5789.929482
5/02/2015,9,1 day post-heatwave (recovery),post_1day,home,euccam,11,acam-11,yes,6.35,17.39019986,20.0748086,17.33376905,2.310625288,20.08182144,0.412729335,0.957318607,0.662691174,0.154183065,0.102175756,80.32700549,6.372934697,6372.934697
10/02/2015,14,6-days post-heatwave (recovery),post_6day,home,euccam,11,acam-11,yes,10.15,20.22322482,23.60196304,19.20756904,0.947459824,23.1598587,0.933225157,0.897746819,0.585991174,0.183893944,0.107760228,84.55109657,5.968206749,5968.206749
28/01/2015,1,pre-heatwave,pre_heatwave,warm,euccam,25,acam-25,yes,5.93,29.16756278,24.92552299,20.27445639,0.535177879,24.21315193,1.138326911,0.826008859,0.509629364,0.293218482,0.149432748,117.3235642,5.658557497,5658.557497
3/02/2015,7,heatwave,heatwave,warm,euccam,25,acam-25,yes,14.61,,,17.57236854,2.166936353,42.98461533,1.107685986,0.942759013,0.435717547,0.454760812,0.198147265,155.7276685,6.434668418,6434.668418
5/02/2015,9,1 day post-heatwave (recovery),post_1day,warm,euccam,25,acam-25,yes,8.08,15.06521929,20.15670268,16.75201475,1.090040661,20.10110092,1.067997786,0.916323231,0.543120523,0.189925259,0.103152306,81.10600437,7.646584727,7646.584727
10/02/2015,14,6-days post-heatwave (recovery),post_6day,warm,euccam,25,acam-25,yes,11.24,20.91627174,25.25090758,12.49711118,0.546054505,25.49702835,1.315945096,0.885090407,0.532327232,0.188792874,0.100499588,78.89686304,6.776953793,6776.953793
28/01/2015,1,pre-heatwave,pre_heatwave,warm,euccam,27,acam-27,yes,8.68,24.24006693,23.87102286,18.44110851,0.966866995,23.33223534,0.836278362,0.904725332,0.502329525,0.24689404,0.124022166,97.50734728,5.716760502,5716.760502
3/02/2015,7,heatwave,heatwave,warm,euccam,27,acam-27,yes,11.89,,,15.84409281,0.681294187,42.86291885,2.100676767,0.868394755,0.425512417,0.425687721,0.181135411,142.111148,6.431273644,6431.273644
5/02/2015,9,1 day post-heatwave (recovery),post_1day,warm,euccam,27,acam-27,yes,14.5,14.65059778,23.53070526,15.82471421,2.210223968,22.86761093,0.833711119,0.952753353,0.706969552,0.118755006,0.083956173,66.00792352,6.97610797,6976.10797
10/02/2015,14,6-days post-heatwave (recovery),post_6day,warm,euccam,27,acam-27,yes,14.34,19.82782088,20.03840714,18.59082465,3.128609661,20.19724464,0.324831157,0.96441973,0.524336755,0.221041872,0.115900378,90.99276554,6.124843554,6124.843554
28/01/2015,1,pre-heatwave,pre_heatwave,warm,euccam,28,acam-28,yes,7.74,21.29928905,22.97052447,20.39283571,0.864200726,23.20866203,0.7705086,0.887146367,0.404678632,0.287134986,0.116197393,91.35693512,5.909457436,5909.457436
3/02/2015,7,heatwave,heatwave,warm,euccam,28,acam-28,yes,17.96,,,13.09110157,0.783912318,43.75855255,2.194257507,0.893527408,0.357547355,0.39015016,0.139497158,109.5949114,5.199157411,5199.157411
5/02/2015,9,1 day post-heatwave (recovery),post_1day,warm,euccam,28,acam-28,yes,9.18,16.52978335,24.51556365,15.40695218,0.872591781,22.97911453,1.524138749,0.900940315,0.448727156,0.209849509,0.094165174,73.90198028,7.341327874,7341.327874
10/02/2015,14,6-days post-heatwave (recovery),post_6day,warm,euccam,28,acam-28,yes,12.15,15.32560467,20.0528759,14.44126937,2.678468829,20.24275589,0.366881253,0.967693011,0.406056614,0.231851616,0.094144882,73.8607638,6.182597134,6182.597134
28/01/2015,1,pre-heatwave,pre_heatwave,home,euccam,7,acam-7,yes,7.88,26.24360544,23.66514664,22.06945643,0.75916497,23.56819344,0.883441711,0.863013658,0.494636914,0.275912037,0.136476279,107.186697,6.366673217,6366.673217
3/02/2015,7,heatwave,heatwave,home,euccam,7,acam-7,yes,10.35,,,16.01485602,0.490284004,43.47816086,2.494027645,0.824894618,0.417294174,0.377499439,0.157528316,123.6141778,5.98274209,5982.74209
5/02/2015,9,1 day post-heatwave (recovery),post_1day,home,euccam,7,acam-7,yes,6.58,23.14027095,20.39930026,20.19097453,1.856817289,20.61149406,0.499366794,0.941285156,0.648167086,0.172382486,0.111732654,87.67612086,8.267201535,8267.201535
