"","submodel","R2","pval","p.adj"
"HSPs","heatwave-home-","0.464927200465301","0.0145915048605386",1
"HSPs1","post_1day-home-","0.326824998675066","0.052139987956238",1
"HSPs2","post_6day-home-","0.396152690713771","0.028307894180095",1
"HSPs3","pre_heatwave-home-","0.00444404561493314","0.836913072937378",1
"HSPs4","heatwave-warm-","0.00829426207279985","0.778335602155507",1
"HSPs5","post_1day-warm-","0.137801404009331","0.261015011461836",1
"HSPs6","post_6day-warm-","0.0599548948973667","0.443066586313268",1
"HSPs7","pre_heatwave-warm-","0.524569039046319","0.0077255494276755",1
