"","submodel","R2","pval","p.adj"
"heatwave--","heatwave--",0.0365,0.38241,0.50988
"post_1day--","post_1day--",4.04e-05,0.9776,0.9776
"post_6day--","post_6day--",0.408,0.0010273,0.004109
"pre_heatwave--","pre_heatwave--",0.0715,0.21751,0.43502
