"","submodel","R2","pval","p.adj"
"heatwave--","heatwave--",0.182,0.042087,0.056116
"post_1day--","post_1day--",0.221,0.027391,0.054781
"post_6day--","post_6day--",0.289,0.008164,0.032656
"pre_heatwave--","pre_heatwave--",0.045,0.33122,0.33122
