"","submodel","R2","pval","p.adj"
"heatwave-home-","heatwave-home-",0.0527,0.47281,0.60968
"post_1day-home-","post_1day-home-",0.0399,0.53347,0.60968
"post_6day-home-","post_6day-home-",0.396,0.028289,0.075438
"pre_heatwave-home-","pre_heatwave-home-",0.000626,0.93846,0.93846
"heatwave-warm-","heatwave-warm-",0.382,0.042844,0.085688
"post_1day-warm-","post_1day-warm-",0.0968,0.38144,0.60968
"post_6day-warm-","post_6day-warm-",0.437,0.026866,0.075438
"pre_heatwave-warm-","pre_heatwave-warm-",0.536,0.010421,0.075438
