"","submodel","R2","pval","p.adj"
"heatwave-home-euccam","heatwave-home-euccam",0.68,0.38292,0.62728
"post_1day-home-euccam","post_1day-home-euccam",0.534,0.47847,0.62728
"post_6day-home-euccam","post_6day-home-euccam",0.605,0.43294,0.62728
"pre_heatwave-home-euccam","pre_heatwave-home-euccam",0.758,0.32724,0.62728
"heatwave-warm-euccam","heatwave-warm-euccam",0.54,0.4743,0.62728
"post_1day-warm-euccam","post_1day-warm-euccam",0.701,0.36814,0.62728
"post_6day-warm-euccam","post_6day-warm-euccam",0.0463,0.86198,0.95275
"pre_heatwave-warm-euccam","pre_heatwave-warm-euccam",0.989,0.066036,0.62728
"heatwave-home-eucbot","heatwave-home-eucbot",0.958,0.1315,0.62728
"post_1day-home-eucbot","post_1day-home-eucbot",0.735,0.34409,0.62728
"post_6day-home-eucbot","post_6day-home-eucbot",0.922,0.18043,0.62728
"pre_heatwave-home-eucbot","pre_heatwave-home-eucbot",0.902,0.20303,0.62728
"heatwave-warm-eucbot","heatwave-warm-eucbot",0.0339,0.88218,0.95275
"post_1day-warm-eucbot","post_1day-warm-eucbot",0.244,0.67093,0.78762
"post_6day-warm-eucbot","post_6day-warm-eucbot",0.389,0.57131,0.70115
"pre_heatwave-warm-eucbot","pre_heatwave-warm-eucbot",0.905,0.19976,0.62728
"heatwave-home-eucter","heatwave-home-eucter",0.736,0.34354,0.62728
"post_1day-home-eucter","post_1day-home-eucter",0.538,0.4756,0.62728
"post_6day-home-eucter","post_6day-home-eucter",0.524,0.48481,0.62728
"pre_heatwave-home-eucter","pre_heatwave-home-eucter",0.593,0.44017,0.62728
"heatwave-warm-eucter","heatwave-warm-eucter",0.735,0.34435,0.62728
"post_1day-warm-eucter","post_1day-warm-eucter",1,NA,NA
"post_6day-warm-eucter","post_6day-warm-eucter",0.832,0.26887,0.62728
"pre_heatwave-warm-eucter","pre_heatwave-warm-eucter",0.89,0.21521,0.62728
"heatwave-home-eucsmi","heatwave-home-eucsmi",0.00434,0.95804,0.95804
"post_1day-home-eucsmi","post_1day-home-eucsmi",0.00801,0.94293,0.95804
"post_6day-home-eucsmi","post_6day-home-eucsmi",0.519,0.48788,0.62728
"pre_heatwave-home-eucsmi","pre_heatwave-home-eucsmi",0.944,0.15229,0.62728
"heatwave-warm-eucsmi","heatwave-warm-eucsmi",1,NA,NA
"post_1day-warm-eucsmi","post_1day-warm-eucsmi",1,NA,NA
"post_6day-warm-eucsmi","post_6day-warm-eucsmi",1,NA,NA
"pre_heatwave-warm-eucsmi","pre_heatwave-warm-eucsmi",1,NA,NA
