"","submodel","R2","pval","p.adj"
"heatwave--","heatwave--",0.0248,0.47272,0.63029
"post_1day--","post_1day--",0.000747,0.90393,0.90393
"post_6day--","post_6day--",0.415,0.00090349,0.003614
"pre_heatwave--","pre_heatwave--",0.0676,0.23085,0.4617
