"","submodel","R2","pval","p.adj"
"heatwave-home-euccam","heatwave-home-euccam",0.99,0.063371,0.62873
"post_1day-home-euccam","post_1day-home-euccam",0.629,0.41721,0.66683
"post_6day-home-euccam","post_6day-home-euccam",0.51,0.49395,0.66683
"pre_heatwave-home-euccam","pre_heatwave-home-euccam",0.76,0.32601,0.62873
"heatwave-warm-euccam","heatwave-warm-euccam",0.518,0.48855,0.66683
"post_1day-warm-euccam","post_1day-warm-euccam",0.625,0.41989,0.66683
"post_6day-warm-euccam","post_6day-warm-euccam",0.297,0.63303,0.77691
"pre_heatwave-warm-euccam","pre_heatwave-warm-euccam",0.941,0.15685,0.62873
"heatwave-home-eucbot","heatwave-home-eucbot",0.915,0.18824,0.62873
"post_1day-home-eucbot","post_1day-home-eucbot",0.56,0.46166,0.66683
"post_6day-home-eucbot","post_6day-home-eucbot",0.968,0.11503,0.62873
"pre_heatwave-home-eucbot","pre_heatwave-home-eucbot",0.95,0.14297,0.62873
"heatwave-warm-eucbot","heatwave-warm-eucbot",0.000752,0.98254,0.98254
"post_1day-warm-eucbot","post_1day-warm-eucbot",0.0808,0.81655,0.86027
"post_6day-warm-eucbot","post_6day-warm-eucbot",0.834,0.26718,0.62873
"pre_heatwave-warm-eucbot","pre_heatwave-warm-eucbot",0.969,0.11293,0.62873
"heatwave-home-eucter","heatwave-home-eucter",0.892,0.21307,0.62873
"post_1day-home-eucter","post_1day-home-eucter",0.778,0.31243,0.62873
"post_6day-home-eucter","post_6day-home-eucter",0.0709,0.82841,0.86027
"pre_heatwave-home-eucter","pre_heatwave-home-eucter",0.843,0.25978,0.62873
"heatwave-warm-eucter","heatwave-warm-eucter",0.389,0.57154,0.73483
"post_1day-warm-eucter","post_1day-warm-eucter",1,NA,NA
"post_6day-warm-eucter","post_6day-warm-eucter",0.54,0.47456,0.66683
"pre_heatwave-warm-eucter","pre_heatwave-warm-eucter",0.765,0.32215,0.62873
"heatwave-home-eucsmi","heatwave-home-eucsmi",0.0908,0.80517,0.86027
"post_1day-home-eucsmi","post_1day-home-eucsmi",0.166,0.73242,0.8598
"post_6day-home-eucsmi","post_6day-home-eucsmi",0.964,0.12085,0.62873
"pre_heatwave-home-eucsmi","pre_heatwave-home-eucsmi",0.92,0.18249,0.62873
"heatwave-warm-eucsmi","heatwave-warm-eucsmi",1,NA,NA
"post_1day-warm-eucsmi","post_1day-warm-eucsmi",1,NA,NA
"post_6day-warm-eucsmi","post_6day-warm-eucsmi",1,NA,NA
"pre_heatwave-warm-eucsmi","pre_heatwave-warm-eucsmi",1,NA,NA
